nome,preco,categoria,descricao,personalizacao,estoque,emoji,imagem_url
Ring Light Led Personalizado Luz Selfie Instagram Blogueira,19.50,Ring Light,Ring light led personalizado para celular. 3 níveis de luz Led recarregável. Personalizado com sua arte.,Nome ou logo,50,💡,https://img.elo7.com.br/product/main/3EB6ED6/ring-light-led-personalizado-luz-selfie-instagram-blogueira-ring-light-personalizado.jpg
Ring Light Led Personalizado Luz Selfie Blogueira,19.70,Ring Light,Ring light led personalizado para celular. 3 níveis de luz Led recarregável. Personalizado embalado em saquinho.,Nome ou logo,50,💡,https://img.elo7.com.br/product/main/3EB6E89/ring-light-led-personalizado-luz-selfie-blogueira-brinde-personalizado.jpg
Ring Light Led Personalizado Luz Selfie Brinde Empresa,19.50,Ring Light,Ring light led personalizado ideal para brindes empresariais. 3 níveis de luz Led recarregável.,Logo da empresa,50,💡,https://img.elo7.com.br/product/main/3EB6F0E/ring-light-led-personalizado-luz-selfie-brinde-empresa-brinde-empresa-ring-light.jpg
Ring Light Led Personalizado Luz Selfie Tiktok Blogueira,19.70,Ring Light,Ring light led personalizado para criadores de conteúdo. 3 níveis de luz Led recarregável.,Nome ou tema,50,💡,https://img.elo7.com.br/product/main/3F22ECA/ring-light-led-personalizado-luz-selfie-tiktok-blogueira-brinde-personalizado.jpg
Fone de Ouvido Personalizado Dia dos Professores,12.60,Fones de Ouvido,Fone de ouvido personalizado especial para o Dia dos Professores. Embalado em caixinha temática.,Nome do professor,100,🎧,https://img.elo7.com.br/product/main/443A485/fone-de-ouvido-personalizado-dia-dos-professores-lembrancinha-professor.jpg
Fone de Ouvido Dia dos Professores Presente,12.60,Fones de Ouvido,Fone de ouvido temático Dia dos Professores na caixinha corujinha.,Nome do professor,100,🎧,https://img.elo7.com.br/product/main/443A44C/fone-de-ouvido-dia-dos-professores-presente-caixa-corujinha.jpg
Fone de Ouvido Dia dos Professores Presente Musical,12.50,Fones de Ouvido,Fone de ouvido temático Dia dos Professores com caixa musical.,Nome do professor,100,🎧,https://img.elo7.com.br/product/main/443A4B9/fone-de-ouvido-dia-dos-professores-presente-fone-musica-dia-dos-professores.jpg
Fone de Ouvido Paris na Caixinha,12.50,Fones de Ouvido,Fone de ouvido temático Paris embalado em caixinha personalizada.,Nome ou mensagem,100,🎧,https://img.elo7.com.br/product/main/46378DB/fone-de-ouvido-paris-na-caixinha-fone-de-ouvido-paris.jpg
Fone de Ouvido Paris Fundo do Mar Aquarela na Caixinha,12.50,Fones de Ouvido,Fone de ouvido Paris Fundo do Mar em aquarela embalado em caixinha.,Nome ou mensagem,100,🎧,https://img.elo7.com.br/product/main/55DEB49/fone-de-ouvido-paris-fundo-do-mar-aquarela-na-caixinha-paris.jpg
Fone de Ouvido Flamingo Verão na Caixinha,12.50,Fones de Ouvido,Fone de ouvido temático Flamingo Verão embalado em caixinha.,Nome ou mensagem,100,🎧,https://img.elo7.com.br/product/main/4637828/fone-de-ouvido-flamingo-verao-na-caixinha-headphone.jpg
